"","Year","Area","Street","Street.2"
"333",2011,"","Lower Parade",""
"334",2011,"","LOWER PARADE",""
"335",2011,"","Lower Parade SC",""
"336",2011,"","LOWER PARADE SUTTON",""
"337",2011,"","Lower Parade Sutton Coldfield",""
"338",2011,"","Lower Parade",""
"339",2011,"","Lower Parade Suton Coldfield",""
"340",2011,"","Lower Parade Sutton Coldfield",""
"341",2011,"","Lower Parade Sutton Coldfield",""
"342",2011,"","Lower Parade Sutton Coldfield",""
"343",2011,"","Lower Parade Sutton Coldfield",""
"344",2011,"","Lower Parade Sutton Coldfield",""
"345",2011,"","Lower Parade Sutton Coldfield",""
"346",2011,"","Lower Parade Sutton Coldfield",""
"347",2011,"","Lower Parade Sutton Coldfield",""
"348",2011,"","Lower Parade Sutton Coldfield",""
"349",2011,"","Lower Parade Sutton Coldfield",""
"350",2011,"","Lower Parade Sutton Coldfield",""
"351",2011,"","Lower Parade Sutton Coldfield",""
"352",2011,"","Lower Parade Sutton Coldfield",""
"353",2011,"","Lower Parade Sutton Coldfield",""
"354",2011,"","Lower Parade Sutton Coldfield",""
"355",2011,"","Lower Parade Sutton Coldfield Town Centre",""
"356",2011,"","Lower Parade Sutton Coldfield Town Centre",""
"357",2011,"","Lower Parade Sutton Coldfield",""
"358",2011,"","Lydham Close",""
"359",2011,"","Mill Street",""
"360",2011,"","Mill Street Sutton Coldfield",""
"361",2011,"","Moor Hall Hotel",""
"362",2011,"","Mulberry Court Carpark Kings Road Kingstanding Birmingham",""
"363",2011,"","Newhall Walk Car Park",""
"364",2011,"","Newhall Walk Car Park",""
"365",2011,"","O S H A",""
"366",2011,"","O S Litten Tree",""
"367",2011,"","O S Litten Tree S C Town Centre",""
"368",2011,"","O S MooMoo Bar S C Town Centre",""
"369",2011,"","O S Moomoo Bar South Parade",""
"370",2011,"","O S Retro",""
"371",2011,"","O S Retro South Parade",""
"372",2011,"","O S Retros",""
"373",2011,"","O S Royal Hotel Lichfield Road",""
"374",2011,"","O S Temple Bar",""
"375",2011,"","O S Temple Bar",""
"376",2011,"","O S Temple Bar High Street",""
"377",2011,"","O S Temple Bar Lower Parade Sutton Coldfield",""
"378",2011,"","O S Temple Bar S C Town Centre",""
"379",2011,"","O S Temple Bar Sutton Coldfield West Milands",""
"380",2011,"","O S The Hairy Lemon",""
"381",2011,"","On Pavement Outside The Royal Hotel",""
"382",2011,"","Ourtside Royal Pub Lichfield Road Sutton Coldfield",""
"383",2011,"","Outside Glendale Tower Lyndhurst Estate",""
"384",2011,"","Outside Litten Tree Pub Birmingham Road Sutton Coldfield",""
"385",2011,"","Outside Moo Moo Club Town Centre Sutton Coldfield",""
"386",2011,"","Outside Moo Moo Night Club South Parade",""
"387",2011,"","Outside Temple Parade Lower Parade",""
"388",2011,"","Outside The Temple Bar Lower Parade SC",""
"389",2011,"","PARADE SUTTON COLDFIELD",""
"390",2011,"","Parade SC",""
"391",2011,"","Parade Sutton Coldfield",""
"392",2011,"","Parade Sutton Coldfield",""
"393",2011,"","PARADE SUTTON COLDFIELD",""
"394",2011,"","Parade Sutton Town",""
"395",2011,"","Parade Sutton Coldfield",""
"396",2011,"","Parade Sutton Coldfield",""
"397",2011,"","Parade Sutton Town Centre",""
"398",2011,"","Parkeston Crescent Kinsgatnding B Ham",""
"399",2011,"","PLANTS GROVE ERDINGTON",""
"400",2011,"","Pype Hayes Road Pype Hayes B Ham",""
"401",2011,"","Pype Hayes Road Pype Hayes B Ham",""
"402",2011,"","Pype Hayes Road Pype Hayes B Ham",""
"403",2011,"","Queen Street",""
"404",2011,"","Queen Street",""
"405",2011,"","Queen Street",""
"406",2011,"","Queen Street",""
"407",2011,"","Queen Street Sutton Coldfield Town Centre",""
"408",2011,"","Queslett Road East",""
"409",2011,"","REDACRE RD BOLDMERE",""
"410",2011,"","RESERVOIR ROAD",""
"411",2011,"","Ridgeway",""
"412",2011,"","Slade Road Erdington B Ham",""
"413",2011,"","Slade Road Erdington B Ham",""
"414",2011,"","Soth Parade Sutton Coldfield",""
"415",2011,"","Soth Parade Sutton Coldfield",""
"416",2011,"","South Parade",""
"417",2011,"","SOUTH PARADE",""
"418",2011,"","SOUTH PARADE",""
"419",2011,"","South Parade",""
"420",2011,"","South Parade",""
"421",2011,"","South Parade",""
"422",2011,"","South Parade",""
"423",2011,"","SOUTH PARADE",""
"424",2011,"","South Parade",""
"425",2011,"","South Parade",""
"426",2011,"","South Parade",""
"427",2011,"","South Parade",""
"428",2011,"","South Parade Town Centre Sutton Coldfield",""
"429",2011,"","South Parade Sutton Coldfield",""
"430",2011,"","South Parade Sutton Coldfield",""
"431",2011,"","South Parade Sutton Town Centre",""
"432",2011,"","South Parade Sutton Coldfield",""
"433",2011,"","South Parade Sutton Coldfield",""
"434",2011,"","South Parade Sutton Coldfield",""
"435",2011,"","South Parade Sutton Coldfield",""
"436",2011,"","South Parade Sutton Coldfield",""
"437",2011,"","South Parade Sutton Coldfield",""
"438",2011,"","South Parade Sutton Coldfield",""
"439",2011,"","South Parade Sutton Coldfield",""
"440",2011,"","South Parade Sutton Coldfield",""
"441",2011,"","South Parade Sutton Coldfield",""
"442",2011,"","South Parade Sutton Coldfield",""
"443",2011,"","South Parade Sutton Town Centre",""
"444",2011,"","South Parade Town Centre Sutton Coldfield",""
